no,style_family,style_family_en,style_number,internal_name,color_name,gallery_name_mos,gallery_name_raw,name_local,screenshot
32,中間,Medium,11,TableStyleMedium11,濃い緑,濃い緑、テーブルスタイル（中間）11,"濃い緑, テーブル スタイル (中間) 11",テーブル スタイル (中間) 11,screenshots/TableStyleMedium11.png
33,中間,Medium,12,TableStyleMedium12,水色,水色、テーブルスタイル（中間）12,"水色, テーブル スタイル (中間) 12",テーブル スタイル (中間) 12,screenshots/TableStyleMedium12.png
34,中間,Medium,13,TableStyleMedium13,プラム,プラム、テーブルスタイル（中間）13,"プラム, テーブル スタイル (中間) 13",テーブル スタイル (中間) 13,screenshots/TableStyleMedium13.png
35,中間,Medium,14,TableStyleMedium14,緑,緑、テーブルスタイル（中間）14,"緑, テーブル スタイル (中間) 14",テーブル スタイル (中間) 14,screenshots/TableStyleMedium14.png
36,中間,Medium,15,TableStyleMedium15,白,白、テーブルスタイル（中間）15,"白, テーブル スタイル (中間) 15",テーブル スタイル (中間) 15,screenshots/TableStyleMedium15.png
37,中間,Medium,16,TableStyleMedium16,濃い青緑,濃い青緑、テーブルスタイル（中間）16,"濃い青緑, テーブル スタイル (中間) 16",テーブル スタイル (中間) 16,screenshots/TableStyleMedium16.png
38,中間,Medium,17,TableStyleMedium17,オレンジ,オレンジ、テーブルスタイル（中間）17,"オレンジ, テーブル スタイル (中間) 17",テーブル スタイル (中間) 17,screenshots/TableStyleMedium17.png
39,中間,Medium,18,TableStyleMedium18,濃い緑,濃い緑、テーブルスタイル（中間）18,"濃い緑, テーブル スタイル (中間) 18",テーブル スタイル (中間) 18,screenshots/TableStyleMedium18.png
40,中間,Medium,19,TableStyleMedium19,水色,水色、テーブルスタイル（中間）19,"水色, テーブル スタイル (中間) 19",テーブル スタイル (中間) 19,screenshots/TableStyleMedium19.png
41,中間,Medium,20,TableStyleMedium20,プラム,プラム、テーブルスタイル（中間）20,"プラム, テーブル スタイル (中間) 20",テーブル スタイル (中間) 20,screenshots/TableStyleMedium20.png
42,中間,Medium,21,TableStyleMedium21,緑,緑、テーブルスタイル（中間）21,"緑, テーブル スタイル (中間) 21",テーブル スタイル (中間) 21,screenshots/TableStyleMedium21.png
43,中間,Medium,22,TableStyleMedium22,薄い灰色,薄い灰色、テーブルスタイル（中間）22,"薄い灰色, テーブル スタイル (中間) 22",テーブル スタイル (中間) 22,screenshots/TableStyleMedium22.png
44,中間,Medium,23,TableStyleMedium23,薄い水色,薄い水色、テーブルスタイル（中間）23,"薄い水色, テーブル スタイル (中間) 23",テーブル スタイル (中間) 23,screenshots/TableStyleMedium23.png
45,中間,Medium,24,TableStyleMedium24,薄いオレンジ,薄いオレンジ、テーブルスタイル（中間）24,"薄いオレンジ, テーブル スタイル (中間) 24",テーブル スタイル (中間) 24,screenshots/TableStyleMedium24.png
46,中間,Medium,25,TableStyleMedium25,薄い緑,薄い緑、テーブルスタイル（中間）25,"薄い緑, テーブル スタイル (中間) 25",テーブル スタイル (中間) 25,screenshots/TableStyleMedium25.png
47,中間,Medium,26,TableStyleMedium26,薄い水色,薄い水色、テーブルスタイル（中間）26,"薄い水色, テーブル スタイル (中間) 26",テーブル スタイル (中間) 26,screenshots/TableStyleMedium26.png
48,中間,Medium,27,TableStyleMedium27,ピンク,ピンク、テーブルスタイル（中間）27,"ピンク, テーブル スタイル (中間) 27",テーブル スタイル (中間) 27,screenshots/TableStyleMedium27.png
49,中間,Medium,28,TableStyleMedium28,薄い緑,薄い緑、テーブルスタイル（中間）28,"薄い緑, テーブル スタイル (中間) 28",テーブル スタイル (中間) 28,screenshots/TableStyleMedium28.png
50,濃色,Dark,1,TableStyleDark1,濃い灰色,濃い灰色、テーブルスタイル（濃色）1,"濃い灰色, テーブル スタイル (濃色) 1",テーブル スタイル (濃色) 1,screenshots/TableStyleDark1.png
51,濃色,Dark,2,TableStyleDark2,濃い青緑,濃い青緑、テーブルスタイル（濃色）2,"濃い青緑, テーブル スタイル (濃色) 2",テーブル スタイル (濃色) 2,screenshots/TableStyleDark2.png
52,濃色,Dark,3,TableStyleDark3,茶,茶、テーブルスタイル（濃色）3,"茶, テーブル スタイル (濃色) 3",テーブル スタイル (濃色) 3,screenshots/TableStyleDark3.png
53,濃色,Dark,4,TableStyleDark4,濃い緑,濃い緑、テーブルスタイル（濃色）4,"濃い緑, テーブル スタイル (濃色) 4",テーブル スタイル (濃色) 4,screenshots/TableStyleDark4.png
54,濃色,Dark,5,TableStyleDark5,水色,水色、テーブルスタイル（濃色）5,"水色, テーブル スタイル (濃色) 5",テーブル スタイル (濃色) 5,screenshots/TableStyleDark5.png
55,濃色,Dark,6,TableStyleDark6,プラム,プラム、テーブルスタイル（濃色）6,"プラム, テーブル スタイル (濃色) 6",テーブル スタイル (濃色) 6,screenshots/TableStyleDark6.png
56,濃色,Dark,7,TableStyleDark7,濃い緑,濃い緑、テーブルスタイル（濃色）7,"濃い緑, テーブル スタイル (濃色) 7",テーブル スタイル (濃色) 7,screenshots/TableStyleDark7.png
57,濃色,Dark,8,TableStyleDark8,薄い灰色,薄い灰色、テーブルスタイル（濃色）8,"薄い灰色, テーブル スタイル (濃色) 8",テーブル スタイル (濃色) 8,screenshots/TableStyleDark8.png
58,濃色,Dark,9,TableStyleDark9,オレンジ,オレンジ、テーブルスタイル（濃色）9,"オレンジ, テーブル スタイル (濃色) 9",テーブル スタイル (濃色) 9,screenshots/TableStyleDark9.png
59,濃色,Dark,10,TableStyleDark10,水色,水色、テーブルスタイル（濃色）10,"水色, テーブル スタイル (濃色) 10",テーブル スタイル (濃色) 10,screenshots/TableStyleDark10.png
60,濃色,Dark,11,TableStyleDark11,緑,緑、テーブルスタイル（濃色）11,"緑, テーブル スタイル (濃色) 11",テーブル スタイル (濃色) 11,screenshots/TableStyleDark11.png
